select t.OWNER || '|' ||
PRD3_WLS|TRG_WLS_HVST_INSERT|WLS_HVST|BEFORE EACH ROW||ENABLED
PRD5_WLS|EXECUTIONINSTANCEDATA_TRG|EXECUTIONINSTANCEDATA|BEFORE EACH ROW||ENABLE
PRD5_WLS|JOBINSTANCEDATA_TRG|JOBINSTANCEDATA|BEFORE EACH ROW||ENABLED
PRD5_WLS|STEPEXECUTIONINSTANCEDATA_TRG|STEPEXECUTIONINSTANCEDATA|BEFORE EACH ROW
PRD5_WLS|TRG_WLS_EVENTS_INSERT|WLS_EVENTS|BEFORE EACH ROW||ENABLED
PRD5_WLS|TRG_WLS_HVST_INSERT|WLS_HVST|BEFORE EACH ROW||ENABLED
SYS|AW_DROP_TRG||AFTER EVENT||ENABLED
SYS|AW_REN_TRG||AFTER EVENT||ENABLED
SYS|AW_TRUNC_TRG||AFTER EVENT||ENABLED
SYS|CDC_ALTER_CTABLE_BEFORE||BEFORE EVENT||DISABLED
SYS|CDC_CREATE_CTABLE_AFTER||AFTER EVENT||DISABLED
SYS|CDC_CREATE_CTABLE_BEFORE||BEFORE EVENT||DISABLED
SYS|CDC_DROP_CTABLE_BEFORE||BEFORE EVENT||DISABLED
SYS|CONTROLA_ACESSO||AFTER EVENT||DISABLED
SYS|CONTROLA_ACESSO2||AFTER EVENT||ENABLED
SYS|DBA_LOGONAUDITING||AFTER EVENT||ENABLED
SYS|LOGMNRGGC_TRIGGER||BEFORE EVENT||DISABLED
SYS|SET_TRACE_OPER||AFTER EVENT||DISABLED
SYS|XDB_PI_TRIG||BEFORE EVENT||ENABLED
EXFSYS|EXPFIL_ALTEREXPTAB_MAINT||AFTER EVENT||DISABLED
EXFSYS|EXPFIL_DROPOBJ_MAINT||BEFORE EVENT||DISABLED
EXFSYS|EXPFIL_DROPUSR_MAINT||AFTER EVENT||DISABLED
EXFSYS|EXPFIL_RESTRICT_TYPEEVOLVE||BEFORE EVENT||DISABLED
EXFSYS|RLMGR_TRUNCATE_MAINT||BEFORE EVENT||DISABLED

Executed in 7,75 seconds
spool off
