select t.INDEX_NAME || '|' ||
CCD_I|NORMAL|CMO_CTP_DIA|VISIBLE|NONUNIQUE|VALID
CCER_PK|NORMAL|CMO_CTC_EVT_RTR|VISIBLE|UNIQUE|VALID
CCER_UK|NORMAL|CMO_CTC_EVT_RTR|VISIBLE|UNIQUE|VALID
CCE_CJU_FK_I|NORMAL|CMO_CTR_EMP|VISIBLE|NONUNIQUE|VALID
CCE_CTR_FK_I|NORMAL|CMO_CTR_EMP|VISIBLE|NONUNIQUE|VALID
CCE_PK|NORMAL|CMO_CTR_EMP|VISIBLE|UNIQUE|VALID
CCF_PK|NORMAL|CCO_FDO|VISIBLE|UNIQUE|VALID
CCI_AAI_I|NORMAL|CMO_CRT_AAI|VISIBLE|NONUNIQUE|VALID
CCI_CLO_I|NORMAL|CMO_CRT_AAI|VISIBLE|NONUNIQUE|VALID
CCI_CRT_I|NORMAL|CMO_CRT_AAI|VISIBLE|NONUNIQUE|VALID
CCI_I|NORMAL|CMO_CTP_ITE|VISIBLE|NONUNIQUE|VALID
CCI_PK|NORMAL|CMO_CRT_AAI|VISIBLE|UNIQUE|VALID
CCJ_CGO_FK_I|NORMAL|CMO_CGO_PSS_JRD|VISIBLE|NONUNIQUE|VALID
CCJ_CJU_FK_I|NORMAL|CMO_CGO_PSS_JRD|VISIBLE|NONUNIQUE|VALID
CCJ_PK|NORMAL|CMO_CGO_PSS_JRD|VISIBLE|UNIQUE|VALID
CCL_CCR_FK_I|NORMAL|CTO_CRD_CLI|VISIBLE|NONUNIQUE|VALID
CCL_CLO_FK_I|NORMAL|CTO_CRD_CLI|VISIBLE|NONUNIQUE|VALID
CCL_PK|NORMAL|CTO_CRD_CLI|VISIBLE|UNIQUE|VALID
CCN_CLO_FK_I|NORMAL|CMO_CMS_PRD_NGC|VISIBLE|NONUNIQUE|VALID
CCN_CPV_FK_I|NORMAL|CMO_CMS_PRD_NGC|VISIBLE|NONUNIQUE|VALID
CCN_ETN_FK_I|NORMAL|CMO_CMS_PRD_NGC|VISIBLE|NONUNIQUE|VALID
CCN_PK|NORMAL|CMO_CMS_PRD_NGC|VISIBLE|UNIQUE|VALID
