select t.OWNER || '|' ||
WEBMETHODSADM|TBIU_OPT|OD_MD_OPT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_HLP|OD_MD_HLP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_MSGGRP|OD_MD_MSGGRP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_MSG|OD_MD_MSG|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_MSTPROP|OD_MD_MSTPROP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJCOLMLT|OD_MD_OBJCOLMLT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJTYP|OD_MD_OBJTYP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJTYPPROP|OD_MD_OBJTYPPROP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBI_OBJ|OD_MD_OBJ|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJ|OD_MD_OBJ|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_JOBLASTEXECCTRL|OD_MD_JOBLASTEXECCTRL|BEFORE EACH ROW||ENABLE
WEBMETHODSADM|TBIU_OBJCSTSQL|OD_MD_OBJCSTSQL|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJDEF|OD_MD_OBJDEF|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJPROP|OD_MD_OBJPROP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJSECU|OD_MD_OBJSECU|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_CNSTRNT|OD_MD_CNSTRNT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJHLP|OD_MD_OBJHLP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJCOL|OD_MD_OBJCOL|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_RELTYP|OD_MD_RELTYP|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJCOLREL|OD_MD_OBJCOLREL|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJCOLSECUREL|OD_MD_OBJCOLSECUREL|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJSECUREL|OD_MD_OBJSECUREL|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJREL|OD_MD_OBJREL|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_OBJRULEDEFS|OD_MD_WF_OBJRULDEFS|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TBIU_WFPEND|OD_MD_WF_PEND|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|TIOIUD_OD_MDV_DFLT_VAL_TRNS|OD_MDV_DFLT_VAL_TRNS|INSTEAD OF||ENABL
