select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: ARISADM
COP_A_MODSETREL|CLANID|NUMBER|22|10|0
COP_A_MODSETREL|SVALUE|BLOB|4000||0
COP_A_MODSETS|ROWKEY|VARCHAR2|255||0
COP_A_MODSETS|ASN|NUMBER|22|10|0
COP_A_MODSETS|ROWSTATE|VARCHAR2|255||0
COP_A_MODSETS|EXPLICIT|NUMBER|22|10|0
COP_A_MODSETS|DUPLICATE|NUMBER|22|10|0
COP_A_MODSETS|CSIGNORE|NUMBER|22|10|0
COP_A_MODSETS|CLANID|NUMBER|22|10|0
COP_A_MODSETS|SVALUE|BLOB|4000||0
COP_B_CONFIGSETORIGINS|ROWKEY|VARCHAR2|255||0
COP_B_CONFIGSETORIGINS|MSN|NUMBER|22|19|0
COP_B_CONFIGSETORIGINS|CMSN|NUMBER|22|19|0
COP_B_CONFIGSETORIGINS|ROWSTATE|VARCHAR2|255||0
COP_B_CONFIGSETORIGINS|CLANID|NUMBER|22|10|0
COP_B_CONFIGSETORIGINS|SVALUE|BLOB|4000||0
COP_B_CONFIGSETS|ROWKEY|VARCHAR2|255||0
COP_B_CONFIGSETS|MSN|NUMBER|22|19|0
COP_B_CONFIGSETS|CMSN|NUMBER|22|19|0
COP_B_CONFIGSETS|ROWSTATE|VARCHAR2|255||0
COP_B_CONFIGSETS|CLANID|NUMBER|22|10|0
COP_B_CONFIGSETS|SVALUE|BLOB|4000||0
COP_B_CSSPROPS|ROWKEY|VARCHAR2|255||0
COP_B_CSSPROPS|MSN|NUMBER|22|19|0
COP_B_CSSPROPS|CMSN|NUMBER|22|19|0
COP_B_CSSPROPS|ROWSTATE|VARCHAR2|255||0
COP_B_CSSPROPS|CLANID|NUMBER|22|10|0
COP_B_CSSPROPS|SVALUE|BLOB|4000||0
COP_B_DELTACFGSETORIGINS|ROWKEY|VARCHAR2|255||0
COP_B_DELTACFGSETORIGINS|MSN|NUMBER|22|19|0
COP_B_DELTACFGSETORIGINS|CMSN|NUMBER|22|19|0
COP_B_DELTACFGSETORIGINS|ROWSTATE|VARCHAR2|255||0
COP_B_DELTACFGSETORIGINS|CLANID|NUMBER|22|10|0
COP_B_DELTACFGSETORIGINS|SVALUE|BLOB|4000||0
COP_B_DELTACONFIGSETS|ROWKEY|VARCHAR2|255||0
COP_B_DELTACONFIGSETS|MSN|NUMBER|22|19|0
COP_B_DELTACONFIGSETS|CMSN|NUMBER|22|19|0
COP_B_DELTACONFIGSETS|ROWSTATE|VARCHAR2|255||0
COP_B_DELTACONFIGSETS|CLANID|NUMBER|22|10|0
COP_B_DELTACONFIGSETS|SVALUE|BLOB|4000||0
COP_B_FILEBUNDLESTAGING|ROWKEY|VARCHAR2|255||0
COP_B_FILEBUNDLESTAGING|MSN|NUMBER|22|19|0
COP_B_FILEBUNDLESTAGING|CMSN|NUMBER|22|19|0
COP_B_FILEBUNDLESTAGING|ROWSTATE|VARCHAR2|255||0
COP_B_FILEBUNDLESTAGING|CLANID|NUMBER|22|10|0
COP_B_FILEBUNDLESTAGING|SVALUE|BLOB|4000||0
COP_B_MODSETREL|ROWKEY|VARCHAR2|255||0
COP_B_MODSETREL|MSN|NUMBER|22|19|0
COP_B_MODSETREL|CMSN|NUMBER|22|19|0
COP_B_MODSETREL|ROWSTATE|VARCHAR2|255||0
COP_B_MODSETREL|CLANID|NUMBER|22|10|0
COP_B_MODSETREL|SVALUE|BLOB|4000||0
COP_B_MODSETS|ROWKEY|VARCHAR2|255||0
COP_B_MODSETS|MSN|NUMBER|22|19|0
COP_B_MODSETS|CMSN|NUMBER|22|19|0
COP_B_MODSETS|ROWSTATE|VARCHAR2|255||0
COP_B_MODSETS|CLANID|NUMBER|22|10|0
COP_B_MODSETS|SVALUE|BLOB|4000||0
COP_CONFIGSETORIGINS|ROWKEY|VARCHAR2|255||0
COP_CONFIGSETORIGINS|VERSION|NUMBER|22|10|0
