select t.INDEX_NAME || '|' ||
       t.INDEX_TYPE || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.VISIBILITY || '|' ||
       t.UNIQUENESS || '|' ||
	   t.STATUS
from DBA_INDEXES t
where t.OWNER = '&schema';
&schema: ARISADM
IDX_BO_AIKPIDEFINITION_WA|NORMAL|BO_AIKPIDEFINITION|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109189C00004$$|LOB|BO_AIKPIDEFINITION|VISIBLE|UNIQUE|VALID
SYS_C0013433|NORMAL|BO_AIKPIDEFINITION|VISIBLE|UNIQUE|VALID
IDX_BO_AI_B|NORMAL|BO_AI|VISIBLE|NONUNIQUE|VALID
IDX_BO_AI_WA|NORMAL|BO_AI|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109185C00004$$|LOB|BO_AI|VISIBLE|UNIQUE|VALID
SYS_C0013431|NORMAL|BO_AI|VISIBLE|UNIQUE|VALID
IDX_BO_ACCESSRIGHT_B|NORMAL|BO_ACCESSRIGHT|VISIBLE|NONUNIQUE|VALID
IDX_BO_ACCESSRIGHT_WA|NORMAL|BO_ACCESSRIGHT|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109181C00004$$|LOB|BO_ACCESSRIGHT|VISIBLE|UNIQUE|VALID
SYS_C0013429|NORMAL|BO_ACCESSRIGHT|VISIBLE|UNIQUE|VALID
SYS_C0014425|NORMAL|ASDB_XMI_STYLE_SHEET|VISIBLE|UNIQUE|VALID
IDX_ASDB_XMI_STYLE_SHEET_WA|NORMAL|ASDB_XMI_STYLE_SHEET|VISIBLE|NONUNIQUE|VALID
IDX_ASDB_XMI_STYLE_SHEET_B|NORMAL|ASDB_XMI_STYLE_SHEET|VISIBLE|NONUNIQUE|VALID
SYS_IL0000111767C00004$$|LOB|ASDB_XMI_STYLE_SHEET|VISIBLE|UNIQUE|VALID
SYS_C0014423|NORMAL|ASDB_XMI_STYLE_SHCNT|VISIBLE|UNIQUE|VALID
IDX_ASDB_XMI_STYLE_SHCNT_WA|NORMAL|ASDB_XMI_STYLE_SHCNT|VISIBLE|NONUNIQUE|VALID
IDX_ASDB_XMI_STYLE_SHCNT_B|NORMAL|ASDB_XMI_STYLE_SHCNT|VISIBLE|NONUNIQUE|VALID
SYS_IL0000111763C00004$$|LOB|ASDB_XMI_STYLE_SHCNT|VISIBLE|UNIQUE|VALID
SYS_C0014421|NORMAL|ASDB_SYSDBLANGUAGE|VISIBLE|UNIQUE|VALID
IDX_ASDB_SYSDBLANGUAGE_WA|NORMAL|ASDB_SYSDBLANGUAGE|VISIBLE|NONUNIQUE|VALID
